new order of the list,old oder of the list,new code,TSG_ML General- Code Guidance on Monitoring 2013,level 1 Materials,new code,level 2 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 2
use",new code,level 3 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 3
general type",new code,level 4 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 4
type",new code,level 5 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 5 
specific type",new code,size class code,TSG_ML General- Code Guidance on Monitoring 2013,size classes,new code,2nd size class code,TSG_ML General- Code Guidance on Monitoring 2013,size classes 2nd level,DEFINITION,"level 6 
Single Use Items, Sanitary Items and Fishing Gear according to the EU-Directive
Brackets ( ) mean not yet certain that this litter type is considered under the directive",OSPAR- Code,UNEP- Code,MEDITS,ICES,,code for highest level,
1,103,pl_,,Artificial polymer materials,ag_,pl_ag_,,agriculture,cw_,pl_ag_cw_,G89,Plastic construction waste,cwa_,pl_ag_cw_cwa_,,plastic construction waste from agriculture,irg_,pl_ag_cw_cwa_irg_,,Plastic irrigation pipes,,,,,,,,,"Plastic irrigation pipes from agriculture generated during construction, renovation, and demolition",,48,PL24,not listed,A14,,pl_ag_cw_cwa_irg_,
2,104,pl_,,Artificial polymer materials,ag_,pl_ag_,,agriculture,cw_,pl_ag_cw_,G89,Plastic construction waste,cwa_,pl_ag_cw_cwa_,,plastic construction waste from agriculture,oag_,pl_ag_cw_cwa_oag_,,Other plastic items ,,,,,,,,,"Other plastic items from agriculture generated during  construction, renovation, and demolition",,48,PL24,,A14,,pl_ag_cw_cwa_oag_,
3,102,pl_,,Artificial polymer materials,ag_,pl_ag_,,agriculture,cw_,pl_ag_cw_,G89,Plastic construction waste,sh_,pl_ag_cw_sh_,,"Sheets, industrial packaging, plastic sheeting",gsh_,pl_ag_cw_sh_gsh_,,Plastic sheeting from greenhouses,,,,,,,,,"Plastic sheeting used to cover greenhouses generated during the construction, renovation, and demolition

This category is possibly only separable from other plastic sheeting by experienced workers ",,48,PL16,not listed,A2,,pl_ag_cw_sh_gsh_,
4,2,pl_,,Artificial polymer materials,ag_,pl_ag_,,agriculture,fp_,pl_ag_fp_,G90,Plastic containers for plants,fty_,pl_ag_fp_fty_,,Foamed plastic trays for seedlings,,,,,,,,,,,,,A foamed plastic tray in which seedlings are grown,,48,FP05,L1j,A14,,pl_ag_fp_fty_,
5,1,pl_,,Artificial polymer materials,ag_,pl_ag_,,agriculture,fp_,pl_ag_fp_,G90,Plastic containers for plants,fpot_,pl_ag_fp_fpot_,,Plastic flower pots,,,,,,,,,,,,,A plastic container in which plants are grown.,,48,PL24,L1j,A14,,pl_ag_fp_fpot_,
6,3,pl_,,Artificial polymer materials,aq_,pl_aq_,,aquaculture,sf_,pl_aq_sf_,,equipment for holding or protecting shellfish,sac_,pl_aq_sf_sac_,G45,"Plastic Mussels/oyster mesh bags,  net sack, socks",,,,,,,,,,,,,"A special bag or sack made out of extruded net which is used for growing (underwater) and packing mussels, oysters and other shellfish species. These bags can have different sizes and shapes e.g. sack-like and tubular and the mesh net can have different thicknesses.",Fishing Gear,28,PL15,L1j,A14,,pl_aq_sf_sac_,G45
7,4,pl_,,Artificial polymer materials,aq_,pl_aq_,,aquaculture,sf_,pl_aq_sf_,,equipment for holding or protecting shellfish,oys_,pl_aq_sf_oys_,G46,Plastic Oyster trays ,,,,,,,,,,,,,"A special tray made out of square mesh used for growing oysters. Trays may be single, double or triple stacked, with or without feet, doors, v-braces and hooks.",Fishing Gear,29,PL24,L1j,A14,,pl_aq_sf_oys_,G46
8,5,pl_,,Artificial polymer materials,aq_,pl_aq_,,aquaculture,sf_,pl_aq_sf_,,equipment for holding or protecting shellfish,tah_,pl_aq_sf_tah_,G47,Plastic sheeting from mussel culture (Tahitians),,,,,,,,,,,,,Pieces of plastic sheeting about 50X40 cm which are cut at one end into fringes or stripes so they look a little like a grass skirt from Hawaii. They are used to protect mussel cultures from animals that feed on mussels.,Fishing Gear,30,PL24,L1j,A14,,pl_aq_sf_tah_,G47
9,6,pl_,,Artificial polymer materials,cl_,pl_cl_,G135,"Clothing (clothes, footware, headware, gloves)",fw_,pl_cl_fw_,,Footwear,ss_,pl_cl_fw_ss_,G71,Shoes/sandals/flipflops,flp_,pl_cl_fw_ss_flp_,G102,Flip-flops,,,,,,,,,"A light sandal made of plastic, with a thong between the big and second toe.",,44,"RB02
footwear including flipflops",L1j,F2,,pl_cl_fw_ss_flp_,G102
10,7,pl_,,Artificial polymer materials,cl_,pl_cl_,G135,"Clothing (clothes, footware, headware, gloves)",fw_,pl_cl_fw_,,Footwear,ss_,pl_cl_fw_ss_,G71,Shoes/sandals/flipflops,sho_,pl_cl_fw_ss_sho_,,Shoes and sandals made of artificial polymer materials - not flip-flops,,,,,,,,,Items of footwear made of artificial polymers - not flip flops,,44,CL01,L1j,F2,,pl_cl_fw_ss_sho_,
11,9,pl_,,Artificial polymer materials,cl_,pl_cl_,G135,"Clothing (clothes, footware, headware, gloves)",gl_,pl_cl_gl_,G39,Gloves,hgl_,pl_cl_gl_hgl_,G40,"Gloves (household/dishwashing, gardening)",,,,,,,,,,,,,"Gloves used to do household chores such as dishwashing gardening, etc. They are typically made out of different polymers including latex, nitrile rubber, polyvinyl chloride. Less heavy-duty than industrial gloves.",,25,PL09,L1j,C5,,pl_cl_gl_hgl_,
12,8,pl_,,Artificial polymer materials,cl_,pl_cl_,G135,"Clothing (clothes, footware, headware, gloves)",gl_,pl_cl_gl_,G39,Gloves,igl_,pl_cl_gl_igl_,G41,Gloves (industrial/professional applications),,,,,,,,,,,,,"Gloves specifically dedicated to industrial applications, mechanical, engineering, agriculture, fisheries and aquaculture and construction. They are typically made out of different polymers including latex, nitrile rubber, polyvinyl chloride and neoprene. More heavy-duty than household gloves.",,113,RB03,L1j,C5,,pl_cl_gl_igl_,
13,10,pl_,,Artificial polymer materials,cl_,pl_cl_,G135,"Clothing (clothes, footware, headware, gloves)",hw_,pl_cl_hw_,,Headwear,hlm_,pl_cl_hw_hlm_,G69,Plastic Hard hats/Helmets,,,,,,,,,,,,,"A hard or padded protective hat, various types of which are worn by construction workers, workers from offshore installations, soldiers, police officers, motorcyclists, sports players, and others.",,42,PL24,L1j,A14,,pl_cl_hw_hlm_,
14,11,pl_,,Artificial polymer materials,co_,pl_co_,,construction related,cw_,pl_co_cw_,G89,Plastic construction waste,notag_,pl_co_cw_notag_,,plastic construction waste other than from agriculture,,,,,,,,,,,,,"Plastic waste materials generated during the construction, renovation, and demolition of buildings or structures. These may include drainage pipes, waste pipes, plastic tubes for cables, , construction foam, etc.

Not foamed insulation materials",,48,PL24,L1j,A14,,pl_co_cw_notag_,
15,12,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,ba_,pl_fi_ba_,G92,Bait containers/packaging,,pl_fi_ba_,,,,,,,,,,,,,,,"Plastic packaging (pouches, bags) and plastic containers suitable for storing, transporting, selling fishing baits. ",(Fishing Gear),48,PL17,L1h,A14,,pl_fi_ba_,
16,14,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,box_,pl_fi_box_,,Fish boxes,fbox_,pl_fi_box_fbox_,G58,Fish boxes - foamed polystyrene,,,,,,,,,,,,,"Boxes made out of foamed polystyrene, which are used for packaging fish or other seafood.",(Fishing Gear),34,FP05,L1h,A11,,pl_fi_box_fbox_,
17,15,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,box_,pl_fi_box_,,Fish boxes,plbx_,pl_fi_box_plbx_,G57,Fish boxes - plastic,,,,,,,,,,,,,"Boxes made out of plastic materials (other than expanded polystyrene), which are used for packaging fish or other seafood.",(Fishing Gear),34,PL17,L1h,A11,,pl_fi_box_plbx_,
18,16,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,li_,pl_fi_li_,G59,Fishing line,,pl_fi_li_,,,,,,,,,,,,,,,"A long nylon thread, usually attached to a baited hook, with a sinker or float, and used for catching fish. The fishing line may be found tangled or not and with or without hooks, sinkers  and floats. ",Fishing Gear,35,PL18,L1g,A5,,pl_fi_li_,
19,18,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,fb_,pl_fi_fb_,,Floats/Buoys,flo_,pl_fi_fb_flo_,G62,Plastic Floats for fishing nets,,,,,,,,,,,,,"An item attached to the top of some types of fishing nets, like seine and trammel that keeps them hanging vertically in the water. Floats come in different sizes and shapes.",Fishing Gear,37,PL14,L1h,A14,,pl_fi_fb_flo_,
20,20,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,ne_,pl_fi_ne_,G52,Nets and pieces of net ,tn_,pl_fi_ne_tn_,G56,Tangled nets/cord,tdr_,pl_fi_ne_tn_tdr_,,Tangled dolly rope,,,,,,,,,"Tangles of a blue, black or orange rope that are used to protect bottom trawling nets against wear and tear. A dolly rope consists of around 30 strings; each string has around 25 threads. The dolly rope string as well as the separated threads can occur in tangles in the marine environment. Tangles of dolly rope should consist entirely of dolly rope.",Fishing Gear,33,PL20,L1f,A8,,pl_fi_ne_tn_tdr_,
21,21,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,ne_,pl_fi_ne_,G52,Nets and pieces of net ,tn_,pl_fi_ne_tn_,G56,Tangled nets/cord,mix_,pl_fi_ne_tn_mix_,,Tangled nets and rope without dolly rope or mixed with dolly rope,,,,,,,,,"Tangled pieces of plastic open-meshed material made of twine, cord, or something similar, used typically for catching fish. They may be found tangled with rope or dolly rope.",Fishing Gear,33,PL20,L1f,A8,,pl_fi_ne_tn_mix_,
22,22,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,ne_,pl_fi_ne_,G52,Nets and pieces of net ,,pl_fi_ne_,,,,pl_fi_ne_,,,<50_,pl_fi_ne_<50_,G53,Nets and pieces of net < 50 cm,,,,,"Pieces of plastic open-meshed material made of twine, cord, or something similar, used typically for catching fish; smaller than 50 cm in the longest dimension.",Fishing Gear,115,PL20,L1f,A8,,pl_fi_ne_<50_,
23,23,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,ne_,pl_fi_ne_,G52,Nets and pieces of net ,,pl_fi_ne_,,,,pl_fi_ne_,,,>50_,pl_fi_ne_>50_,G54,Nets and pieces of net > 50 cm,,pl_fi_ne_>50_,,,"Pieces of plastic open-meshed material made of twine, cord, or something similar, used typically for catching fish; bigger than 50 cm in the longest dimension.",Fishing Gear,116,PL20,L1f,A8,,pl_fi_ne_>50_,
24,25,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,,pl_fi_,G61,"Other fishing related litter items (e.g. other than fish boxes, fishing line, nets, traps, pots, light sticks etc.)",,,,,,,,,,,,,,,,,"Other fishing related litter items that are not explicitly addressed by the fishing-related items included on this list e.g. soft and hard plastic baits such as wobblers, spinners etc.",Fishing Gear,48,PL17,L1h,A14,,pl_fi_,
25,13,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,trp_,pl_fi_trp_,G42,Plastic Crab/lobster traps (pots) and tops,,,,,,,,,,,,,,,,,"Stationary plastic traps or pots used to catch crustaceans such as lobsters and crabs. Though the size and shape of the traps may vary, most feature a net covering and a cone-shaped entrance tunnel through which a crab or lobster is enticed with bait, but cannot escape from.",Fishing Gear,26,PL17,L1h,A14,,pl_fi_trp_,
26,19,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,fil_,pl_fi_fil_,G60,Plastic Fishing light sticks / fishing glow sticks incl. packaging,,pl_fi_fil_,,,,pl_fi_fil_,,,,pl_fi_fil_,,,,pl_fi_fil_,,,An item that is used by anglers in order to make baits more attractive to fish. Fishing light sticks or glow sticks are typically tubes filled with fluorescent fluid. They can be found in a variety of sizes.,Fishing Gear,36,PL17,L1h,A14,,pl_fi_fil_,
27,24,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,pot_,pl_fi_pot_,G44,Plastic Octopus pots,,,,,,,,,,,,,,,,,"Pots made of plastic or PVC tubing, weighted with concrete, and typically having a volume of 4 litres. Octopus seeking refuge in the pots can be trapped.",Fishing Gear,27,PL17,L1h,A14,,pl_fi_pot_,
28,92,pl_,,Artificial polymer materials,fi_,pl_fi_,,fishing related,rps_,pl_fi_rps_,,"Rope, string, cord",stg_,pl_fi_rps_stg_,G50,String and cord (diameter less than 1cm),sdr_,pl_fi_rps_stg_sdr_,,String and filaments exclusively from Dolly ropes ,,,,,,,,,"Strings and filaments from blue, black or orange string that are used to protect bottom trawling nets against wear and tear. A dolly rope consists of around 30 strings; each string has around 25 threads.",Fishing Gear,32,PL20,L1i,A7,,pl_fi_rps_stg_sdr_,
29,27,pl_,,Artificial polymer materials,fc_,pl_fc_,,food consumption related non packaging,cps_,pl_fc_cps_,,Cups/Cutlery/plates/trays/straws/stirrers,cup_,pl_fc_cps_cup_,G33,Cups and cup lids,fcup_,pl_fc_cps_cup_fcup_,,Foamed polystyrene  cups and cup lids,,,,,,,,,"Single-use cups and their lids for coffee and other beverages; made out of  foamed polystyrene. They have a wide range of uses in restaurants, bakeries, or catering settings.",SUP,21,FP02,L1j,A14,perhaps as shown under cps_ as with paper,pl_fc_cps_cup_fcup_,
30,26,pl_,,Artificial polymer materials,fc_,pl_fc_,,food consumption related non packaging,cps_,pl_fc_cps_,,Cups/Cutlery/plates/trays/straws/stirrers,cup_,pl_fc_cps_cup_,G33,Cups and cup lids,pcp_,pl_fc_cps_cup_pcp_,,Hard plastic cups and lids,,,,,,,,,"Single-use cups and their lids for coffee and other beverages; made out of non-foamed artificial polymer materials. They have a wide range of uses in restaurants, bakeries, or catering settings.",SUP,21,PL24,L1j,A14,perhaps as shown under cps_ as with paper,pl_fc_cps_cup_pcp_,
31,28,pl_,,Artificial polymer materials,fc_,pl_fc_,,food consumption related non packaging,cps_,pl_fc_cps_,,Cups/Cutlery/plates/trays/straws/stirrers,cpt_,pl_fc_cps_cpt_,G34,"Cutlery, plates and trays",cut_,pl_fc_cps_cpt_cut_,,Plastic cutlery,,,,,,,,,"Single-use knives, forks, and spoons",SUP,22,PL04,L1j,A14,,pl_fc_cps_cpt_cut_,
32,29,pl_,,Artificial polymer materials,fc_,pl_fc_,,food consumption related non packaging,cps_,pl_fc_cps_,,Cups/Cutlery/plates/trays/straws/stirrers,cpt_,pl_fc_cps_cpt_,G34,"Cutlery, plates and trays",plt_,pl_fc_cps_cpt_plt_,,Plastic plates and trays,,,,,,,,,Single-use plates and trays,SUP,22,PL04,L1j,A14,,pl_fc_cps_cpt_plt_,
33,30,pl_,,Artificial polymer materials,fc_,pl_fc_,,food consumption related non packaging,cps_,pl_fc_cps_,,Cups/Cutlery/plates/trays/straws/stirrers,sts_,pl_fc_cps_sts_,G35,Straws and stirrers,sti_,pl_fc_cps_sts_sti_,,Plastic stirrers,,,,,,,,,Stirrers are used when serving hot drinks such as tea and coffee or other drinks such as cocktails,SUP,22,PL04,L1j,A14,,pl_fc_cps_sts_sti_,
34,31,pl_,,Artificial polymer materials,fc_,pl_fc_,,food consumption related non packaging,cps_,pl_fc_cps_,,Cups/Cutlery/plates/trays/straws/stirrers,sts_,pl_fc_cps_sts_,G35,Straws and stirrers,stw_,pl_fc_cps_sts_stw_,,Plastic straws,,,,,,,,,A drinking straw or drinking tube is a small pipe that allows its user to more conveniently consume a beverage.,SUP,22,PL04,L1j,A14,,pl_fc_cps_sts_stw_,
35,32,pl_,,Artificial polymer materials,hr_,pl_hr_,,hunting related,car_,pl_hr_car_,G70,Shotgun cartridges,,,,,,,,,,,,,,,,,"A shotgun cartridge is a self-contained cartridge often loaded with multiple metallic ""shot"", which are small, generally spherical projectiles. The shells consist of a plastic tube mounted on a brass base holding a primer. Also plastic wads from shotgun cartridges can be found on their own. ",,43,PL24,L1j,A14,,pl_hr_car_,
36,142,pl_,,Artificial polymer materials,med_,pl_med_,,medical related,omed_,pl_med_omed_,G211,"Other medical items (swabs, bandaging, adhesive plasters etc.) ",,,,,,,,,,,,,,,,,"Items deemed necessary for the treatment of an illness or injury. These may include swabs, bandaging, adhesive plasters, etc. 

Can be made of other materials than artificial polymers.",,105,OT05,L8 & L9,F3,,pl_med_omed_,
37,33,pl_,,Artificial polymer materials,med_,pl_med_,,medical related,pha_,pl_med_pha_,G100,Plastic Medical/ Pharmaceuticals containers/tubes/ packaging,,,,,,,,,,,,,,,,,"A wide variety of artificial polymer packages used for the packaging of the wide variety of pharmaceutical solids, liquids, and gasses. Some of the common primary plastic packages are: blister packs, small bottles and containers, tubes, ampoules, etc.",,103,PL24,L1j,A14,,pl_med_pha_,
38,34,pl_,,Artificial polymer materials,med_,pl_med_,,medical related,syg_,pl_med_syg_,G99,Syringes/needles,,,,,,,,,,,,,,,,,"A plastic tube with a nozzle and piston or bulb for sucking in and ejecting liquid in a thin stream, used for cleaning wounds or body cavities, or fitted with a hollow needle for injecting or withdrawing fluids.",,104,PL12,L1j,A14,,pl_med_syg_,
39,37,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,G2,Bags,msh_,pl_pa_bag_msh_,G37,Mesh bags,veg_,pl_pa_bag_msh_veg_,,"Plastic mesh bags for vegetable, fruit and other products",,,,,,,,,"A special mesh bag made out of polypropylene, polyethylene or high-density polyethylene used for packaging and transporting agricultural products such as vegetables, fruit, bird feed etc.",,24,PL15,L1a,A14,,pl_pa_bag_msh_veg_,
40,35,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,G2,Bags,dog_,pl_pa_bag_dog_,G101,Plastic Dog/pet faeces bag,,,,,,,,,,,,,A plastic bag used for picking up and removing the faeces of a dog or other pet.,,121,PL07,L1a,A14,,pl_pa_bag_dog_,
41,36,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,G2,Bags,hdb_,pl_pa_bag_hdb_,G36,Plastic heavy-duty sacks,ohd_,pl_pa_bag_hdb_ohd_,,Other plastic heavy-duty sacks,,,,,,,,,"Heavy duty sacks are plastic sacks typically designed to contain more than 25 Kgr of content such as animal feed, fertilizers, garden rubbish, etc.",,23,PL07,L1a,A3,introduced level 5,pl_pa_bag_hdb_ohd_,
42,65,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,,Bags,hdb_,pl_pa_bag_hdb_,G85,Plastic heavy-duty sacks,slt_,pl_pa_bag_hdb_slt_,,Commercial plastic salt packaging,,,,,,,,,Heavy-duty sacks and other containers used for packaging and shipping salt.,,48,PL24,L1j,A14,introduced level 4 improved description,pl_pa_bag_hdb_slt_,
43,38,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,G2,Bags,lbg_,pl_pa_bag_lbg_,G3,Plastic Shopping/carrier/grocery bags ,,,,,,,,,,,,,"Shopping bags are medium-sized bags, typically around 10–20 litres in volume (though much larger versions exist, especially for non-grocery shopping), that are used by shoppers to carry home their purchases. Shopping bags can be made with a variety of plastics; polyethylene (LDPE, LLDPE, etc.) is the most common one. They usually have handles.",SUP,2,PL07,L1a,A3,,pl_pa_bag_lbg_,
44,39,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,G2,Bags,sbg_,pl_pa_bag_sbg_,G4,Small plastic bags ,,,,,,,,,,,,,"Small plastic bags refer to small-sized bags such as freezer bags, zip-lock re-sealable food bags, poly bags, etc.",,3,PL07,L1a,A3,,pl_pa_bag_sbg_,
45,40,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bag_,pl_pa_bag_,G2,Bags,reb_,pl_pa_bag_reb_,G5,The part that remains from  tear-off plastic bags,,,,,,,,,,,,,"Plastic packing bags are commonly found on the market in packs of 10, 20, 50, etc. This litter item refers to the part that remains after tearing-off the bags.",,112,PL07,L1a,A3,,pl_pa_bag_reb_,
46,41,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,bdy_,pl_pa_bc_bdy_,,Body care and cosmetics bottles & containers,beach_,pl_pa_bc_bdy_beach_,G11,Plastic beach use related body care and cosmetic bottles and containers,,,,,,,,,"Bottles and containers of body care and cosmetics products used at the beach such as sun cream, suntan or after sun lotion, etc. ",,7,PL02,L1b,A1,,pl_pa_bc_bdy_beach_,
47,42,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,bdy_,pl_pa_bc_bdy_,,Body care and cosmetics bottles & containers,nonbdy_,pl_pa_bc_bdy_nonbdy_,G12,Plastic Non-beach use related body care and cosmetic bottles and containers ,,,,,,,,,"Bottles and containers of body care and cosmetics products  such as shampoo, shower gel, toothpaste, perfume and others that are not explicitly used at the beach.",,7,PL02,L1b,A1,,pl_pa_bc_bdy_nonbdy_,
48,44,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,dbt_,pl_pa_bc_dbt_,,Drink bottles,,pl_pa_bc_dbt_,,,<hl_,pl_pa_bc_dbt_<hl_,G7,Plastic Drink bottles  <=0.5l,,,,,"Plastic bottles and containers with a volume of 0.5 litres or less, used to hold water, juice or other beverages for consumption.",SUP,4,PL02,L1b,A1,,pl_pa_bc_dbt_<hl_,
49,45,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,dbt_,pl_pa_bc_dbt_,,Drink bottles,,pl_pa_bc_dbt_,,,>hl_,pl_pa_bc_dbt_>hl_,G8,Plastic Drink bottles  >0.5l,,,,,"Plastic bottles and containers with a volume larger than 0.5 litres, used to hold water, juice or other beverages for consumption.",SUP,4,PL02,L1b,A1,,pl_pa_bc_dbt_>hl_,
50,46,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,oil_,pl_pa_bc_oil_,,Engine oil bottles & containers,,pl_pa_bc_oil_,,,<50_,pl_pa_bc_oil_<50_,G14,Plastic Engine oil bottles & containers <50 cm,,,,,"Plastic bottles and containers smaller than 50 cm in any dimension, used for packaging motor oil, engine oil, or engine lubricant.",,8,Pl03,L1j,A11,,pl_pa_bc_oil_<50_,
51,47,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,oil_,pl_pa_bc_oil_,,Engine oil bottles & containers,,pl_pa_bc_oil_,,,>50_,pl_pa_bc_oil_>50_,G15,Plastic Engine oil bottles & containers >50 cm,,,,,"Plastic bottles and containers bigger than 50 cm in any dimension, used for packaging motor oil, engine oil, or engine lubricant.",,9,PL03,L1j,A11,,pl_pa_bc_oil_>50_,
52,48,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,foc_,pl_pa_bc_foc_,G10,Food containers,pfoc_,pl_pa_bc_foc_pfoc_,,Food containers made of hard non-foamed plastic ,,,,,,,,,"Plastic containers used for carrying or storing food, such as fast food containers, Tupperware, lunchboxes, etc.  Made of non-foamed plastic",SUP,6,PL06,L1c,A11,,pl_pa_bc_foc_pfoc_,
53,49,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,foc_,pl_pa_bc_foc_,G10,Food containers,ffd_,pl_pa_bc_foc_ffd_,,Food containers made of foamed polystyrene ,,,,,,,,,"Foamed polystyrene containers used for carrying or storing food, such as fast food containers, lunchboxes, etc.",SUP,6,FP02,L1c,A11,,pl_pa_bc_foc_ffd_,
