new order of the list,old oder of the list,new code,TSG_ML General- Code Guidance on Monitoring 2013,level 1 Materials,new code,level 2 code,TSG_ML General- Code Guidance on Monitoring 2013,"level 2
54,52,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,obc_,pl_pa_bc_obc_,G13,Other plastic bottles & containers (drums),,,,,,,,,,,,,Other plastic bottles and containers such as drums (cylindrical containers) generally used for the transportation and storage of liquids and powders.,,12,PL02,L1b,A11,,pl_pa_bc_obc_,
55,43,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,cln_,pl_pa_bc_cln_,G9,Plastic bottles and containers of cleaning products,,,,,,,,,,,,,"Bottles and containers of cleaning products such as detergents, toilet cleaners, glass cleaners, etc.",,5,PL02,L1b,A1,,pl_pa_bc_cln_,
56,51,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,jer_,pl_pa_bc_jer_,G16,Plastic jerry cans ,,,,,,,,,,,,,"Large plastic flat-sided containers with a handle used for storing or transporting liquids, typically petrol or water.",,10,PL03,L1j,A11,,pl_pa_bc_jer_,
57,50,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,bc_,pl_pa_bc_,G6,Bottles & containers,inj_,pl_pa_bc_inj_,G17,Plastis injection gun containers/cartridges,,,,,,,,,,,,,"A cartridge made out of plastic for devices that are used to inject grease, silicone, or other fluids.",,11,PL24,L1j,A11,,pl_pa_bc_inj_,
58,53,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,cd_,pl_pa_cd_,G84,CDs & DVDs,,,,,,,,,,,,,,,,,Small plastic discs (and their keep cases) on which sound and data can be stored. ,,48,PL24,L1j,A14,,pl_pa_cd_,
59,54,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,cp_,pl_pa_cp_,G38,Cover packaging,sh_,pl_pa_cp_sh_,G67,"Sheets, industrial packaging, plastic sheeting",,,,,,,,,,,,,"Large plastic packaging or sheeting used for the protection or covering/wrapping of large cargo objects. Plastic sheeting is used for a variety of industrial and commercial applications. It comes in many sizes, strengths, styles, and colours depending on the application.",,40,PL16,L1j,A14,,pl_pa_cp_sh_,
60,57,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,wrp_,pl_pa_wrp_,,Food packets and wrappers,cwl_,pl_pa_wrp_cwl_,,Crisps packets/sweets wrappers/lolly & lollypop sticks,crp_,pl_pa_wrp_cwl_crp_,G30,Plastic Crisps packets/sweets wrappers,,,,,,,,,"Plastic food packets and wrappers created and designed in various colours, materials, shapes, sizes and styles for crisp food products (i.e. potato chips, etc.) or sweets (i.e. chocolates, candy, ice-creams, etc.).",SUP,19,PL24,L1j,A14,,pl_pa_wrp_cwl_crp_,
61,58,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,wrp_,pl_pa_wrp_,,Food packets and wrappers,cwl_,pl_pa_wrp_cwl_,,Crisps packets/sweets wrappers/lolly & lollypop sticks,lol_,pl_pa_wrp_cwl_lol_,G31,Plastic lolly & icecream sticks,,,,,,,,,A plastic stick attached to the bottom of a popsicle/lolly/ice-cream or lollypop used as a handle to facilitate the eating process.,SUP,19,PL24,L1j,A14,,pl_pa_wrp_cwl_lol_,
62,64,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,6pk_,pl_pa_6pk_,G1,4/6-pack yokes & six-pack rings,,,,,,,,,,,,,,,,,"Four or six pack rings or yokes are a set of connected plastic rings that are used in multi-packs of beverages, particularly of beverage cans, to hold the cans together",,1,PL05,L1j,A14,,pl_pa_6pk_,
63,59,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,li_,pl_pa_li_,G20,Plastic caps and lids,dtg_,pl_pa_li_dtg_,G22,"Plastic caps/lids chemicals, detergents (non-food)",,,,,,,,,,,,,"Plastic caps and lids from bottles and containers of cleaning products (i.e. detergents, toilet cleaners, glass cleaners, etc.) and chemicals.",,15,PL01,L1j,A4,,pl_pa_li_dtg_,
64,60,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,li_,pl_pa_li_,G20,Plastic caps and lids,drnk_,pl_pa_li_drnk_,G21,Plastic caps/lids drinks,,,,,,,,,,,,,"Plastic caps and lids from bottles and containers, used to hold water, juice or other beverages for consumption.",SUP,15,PL01,L1j,A4,,pl_pa_li_drnk_,
65,61,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,li_,pl_pa_li_,G20,Plastic caps and lids,3_,pl_pa_li_3_,G23,Plastic caps/lids unidentified,,,,,,,,,,,,,Plastic caps and lids from unidentified bottles and containers.,,15,PL01,L1j,A4,,pl_pa_li_3_,
66,62,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,li_,pl_pa_li_,G20,Plastic caps and lids,4_,pl_pa_li_4_,G24,Plastic rings from bottle caps/lids,,,,,,,,,,,,,"Plastic structures around the circumference (usually) of the closure that is often found attached below a closure in bottles, jars, and tubs. The bottom part of a cap that breaks off when the cap is screwed off.",SUP,15,PL01,L1j,A4,,pl_pa_li_4_,
67,55,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,cr_,pl_pa_cr_,G18,"Plastic Crates, boxes, baskets",,,,,,,,,,,,,,,,,"Plastic containers typically used to transport or store different types of items and products, other than fisheries and aquaculture related.",,13,PL13,L1j,A11,,pl_pa_cr_,
68,63,pl_,,Artificial polymer materials,pa_,pl_pa_,,packaging,sb_,pl_pa_sb_,G66,Plastic strapping bands,,,,,,,,,,,,,,,,,Plastic bands and straps used for fastening any type of package. Polypropylene and polyester strapping is the most commonly used plastic strapping on the market. Usually made of quite hard plastic.,,39,PL21,L1i,A10,,pl_pa_sb_,
69,66,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,cbs_,pl_pc_cbs_,G95,Cotton bud sticks,pcb_,pl_pc_cbs_pcb_,,Plastic cotton bud sticks,,,,,,,,,,,,,"A short stick with a small amount of cotton on each end that is used for cleaning, especially the ears. The cotton is usually no-longer attached. The ends are rough when touched, where the cotton was attached. This feature can be used to separate from lolly sticks.",Sanitary,98,OT02,L5d,A14,,pl_pc_cbs_pcb_,
70,143,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,opc_,pl_pc_opc_,,Other personal hygiene and care items,,,,,,,,,,,,,,,,,"Other identifiable personal hygiene and care items that do not fit in any other category of this list. 

Can be made of other materials than artificial polymers.",Sanitary,102,OT02,L5d,F3,,pl_pc_opc_,
71,67,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,dap_,pl_pc_dap_,G98,Plastic Diapers/nappies,,,,,,,,,,,,,,,,,"Basic garments for infants consisting of absorbent synthetic polymer material drawn up between the legs and fastened about the waist, used to retain urine and faeces.",,102,PL24,L5d,A12,,pl_pc_dap_,
72,68,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,stt_,pl_pc_stt_,,"Sanitary towels/panty liners/backing strips, Tampons and tampon applicators",sat_,pl_pc_stt_sat_,G96,Sanitary towels/panty liners/backing strips,,,,,,,,,,,,,Absorbent pads worn by women to absorb menstrual blood.,Sanitary,99,PL24,L5d,A13,,pl_pc_stt_sat_,
73,69,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,stt_,pl_pc_stt_,,"Sanitary towels/panty liners/backing strips, Tampons and tampon applicators",tmp_,pl_pc_stt_tmp_,G144,Tampons and tampon applicators,,,,,,,,,,,,,A feminine hygiene product designed to absorb the menstrual flow or a plug of material used to stop a wound or block an opening in the body and absorb blood or secretions. The tampon applicator should be recorded within this category. ,Sanitary,100,OT02,L5d,F3,,pl_pc_stt_tmp_,
74,70,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,tf_,pl_pc_tf_,G97,Toilet fresheners,,,,,,,,,,,,,,,,,"Toilet bowl fresheners, which are attached inside the toilet bowl to keep it smelling fresh.",,101,PL24,L5d,A14,,pl_pc_tf_,
75,71,pl_,,Artificial polymer materials,pc_,pl_pc_,,personal hygiene and care,ww_,pl_pc_ww_,,Wet wipes,,,,,,,,,,,,,,,,,"A small disposable synthetic cloth treated with a cleansing agent, used especially for personal hygiene.",Sanitary,102,PL24,L5d,A14,,pl_pc_ww_,
76,72,pl_,,Artificial polymer materials,rec_,pl_rec_,,recreation related,div_,pl_rec_div_,G86,Fin trees (from fins for scuba diving),,,,,,,,,,,,,,,,,The plastic supports placed inside diving flippers or fins to keep them in shape.,,48,PL24,L1j,A14,,pl_rec_div_,
77,73,pl_,,Artificial polymer materials,rec_,pl_rec_,,recreation related,fm_,pl_rec_fm_,,Plastic remains of fireworks,,,,,,,,,,,,,,,,,"The plastic remains of fireworks such as caps of rockets, covers for fuses, exploding parts of battery fireworks.",,48,PL24,L1j,A14,,pl_rec_fm_,
78,74,pl_,,Artificial polymer materials,rec_,pl_rec_,,recreation related,toy_,pl_rec_toy_,G32,Toys and party poppers,,,,,,,,,,,,,,,,,"Any plastic object that children play with, as well as objects commonly used at parties. Party poppers are small devices used as an amusement at parties, which explode when a string is pulled, ejecting thin paper streamers.",,20,PL08,L1j,A14,,pl_rec_toy_,
79,75,pl_,,Artificial polymer materials,sew_,pl_sew_,,sewage/aquaculture,bio_,pl_sew_bio_,G91,Biomass holder from sewage treatment plants and aquaculture,,,,,,,,,,,,,,,,,Plastic Filter Media or Biofiltration Media are small (1-4 cm diameter ca. 1 cm high) usually round plastic items that look a bit like a cake. https://www.bing.com/images/search?q=Plastic+Filter+Media+or+Biofiltration+Media&FORM=HDRSC2,,48,PL24,L1j,A14,,pl_sew_bio_,
80,76,pl_,,Artificial polymer materials,shr_,pl_shr_,,shipping related,fen_,pl_shr_fen_,G64,Fenders,,,,,,,,,,,,,,,,,Plastic cushions (such as foam rubber) placed between a boat and a dock or between two boats to lessen shock and prevent chafing.,,48,PL24,L1j,A14,,pl_shr_fen_,
81,90,pl_,,Artificial polymer materials,shr_,pl_shr_,,shipping related,rps_,pl_shr_rps_,,"Rope, string, cord",rop_,pl_shr_rps_rop_,G49,Rope (diameter more than 1cm),,,,,,,,,,,,,"A stout cord of strands of plastic fibres twisted or braided together, with a diameter larger than 1 cm.",,31,PL19,L1i,A7,changed level 2 from unidentified to shipping related,pl_shr_rps_rop_,
82,78,pl_,,Artificial polymer materials,smr_,pl_smr_,,smoking related,lht_,pl_smr_lht_,G26,Cigarette lighters,,,,,,,,,,,,,,,,,"Small objects that produce a flame, commonly used for lighting cigarettes or cigars.",,16,PL10,L1j,A14,,pl_smr_lht_,
83,79,pl_,,Artificial polymer materials,smr_,pl_smr_,,smoking related,tab_,pl_smr_tab_,G25,Tobacco pouches / plastic cigarette box packaging,,,,,,,,,,,,,,,,,"Plastic containers (pouches, boxes) used for cigarettes and tobacco.",,48,PL24,L1j,A14,,pl_smr_tab_,
84,77,pl_,,Artificial polymer materials,smr_,pl_smr_,,smoking related,but_,pl_smr_but_,G27,Tobacco products with filters (cigarette butts with filters),,,,,,,,,,,,,,,,,"A cigarette filter, also known as a filter tip, is a component of a cigarette, placed at the one tip of the cigarette in order to absorb vapours and accumulate particulate smoke components. The filter is commonly made from synthetic plastic cellulose.",SUP,64,PL11,L1j,A14,,pl_smr_but_,
85,80,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,fib_,pl_nn_fib_,G68,Fibre glass items,,,,,,,,,,,,,,,,,"Items made of fibreglass, a common type of fibre-reinforced plastic using glass fibre. Examples of fibreglass items include water pipes, pods, domes, traffic lights, etc.",,41,PL22,L1j,A14,,pl_nn_fib_,
86,17,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,fb_,pl_nn_fb_,,Floats/Buoys,buo_,pl_nn_fb_buo_,G63,Plastic Buoys,,,,,,,,,,,,,"Floating devices that serve as navigation marks, marking reefs or other hazards, mooring locations, fishing gear. They can be anchored (stationary) or allowed to drift with ocean currents.",,37,PL14,L1j,A14,,pl_nn_fb_buo_,
87,81,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,fom_,pl_nn_fom_,G73,foamed plastic items and fragments not made of foamed polystyrene,nfp_,pl_nn_fom_nfp_,, other foamed plastic items and fragments not made of foamed polystyrene,,,,,,,,,,,,,"Items and fragments (other than packaging or insulation related) made out of foamed sponge-like plastic, such as mattresses, bathing sponges, etc.",,45,"FP01
foam sponge",L1j,A14,,pl_nn_fom_nfp_,FROM HERE
88,56,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,fom_,pl_nn_fom_,G73,foamed plastic items and fragments not made of foamed polystyrene,pin_,pl_nn_fom_pin_,G74,Foamed plastic used for packaging and/or insulation,,,,,,,,,,,,,"Lightweight cellular foam (mainly foamed PU and PE materials ) used especially for insulation (i.e. in walls, roofs, and foundations as thermal insulation and water barrier) or as a packing material.",,45,FP04,L1j,A14,,pl_nn_fom_pin_,
89,82,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,frg_,pl_nn_frg_,,fragments,pp_,pl_nn_frg_pp_,,Plastic/foamed polystyrene pieces,,pl_nn_frg_pp_,,,<2.5_,pl_nn_frg_pp_<2.5_,G75,Plastic/foamed polystyrene pieces < 2.5 cm,nf<2.5_,pl_nn_frg_pp_<2.5_nf<2.5_,G78,non-foamed plastic pieces < 2.5 cm,Fragments of plastic that are smaller than 2.5 cm in the longest dimension and originate from unidentifiable plastic non-foamed polystyrene items. ,,117,PL24,L1j,A14,,pl_nn_frg_pp_<2.5_nf<2.5_,
90,83,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,frg_,pl_nn_frg_,,fragments,pp_,pl_nn_frg_pp_,,Plastic/foamed polystyrene pieces,,pl_nn_frg_pp_,,,<2.5_,pl_nn_frg_pp_<2.5_,G75,Plastic/foamed polystyrene pieces < 2.5 cm,fd<2.5__,pl_nn_frg_pp_<2.5_fd<2.5__,G81,foamed polystyrene pieces < 2.5 cm,Fragments of foamed polystyrene that are smaller than 2.5 cm in the longest dimension and originate from unidentifiable polystyrene items.,,117,FP04,L1j,A14,,pl_nn_frg_pp_<2.5_fd<2.5__,
91,84,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,frg_,pl_nn_frg_,,fragments,pp_,pl_nn_frg_pp_,,Plastic/foamed polystyrene pieces,,pl_nn_frg_pp_,,,>50_,pl_nn_frg_pp_>50_,G77,Plastic/foamed polystyrene pieces > 50 cm,nf>50__,pl_nn_frg_pp_>50_nf>50__,G80,non-foamed plastic pieces > 50 cm,Fragments of plastic that are larger than 50 cm in the longest dimension and originate from unidentifiable plastic non-foamed polystyrene items.,,47,PL24,L1j,A14,,pl_nn_frg_pp_>50_nf>50__,
92,85,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,frg_,pl_nn_frg_,,fragments,pp_,pl_nn_frg_pp_,,Plastic/foamed polystyrene pieces,,pl_nn_frg_pp_,,,>50_,pl_nn_frg_pp_>50_,G77,Plastic/foamed polystyrene pieces > 50 cm,fd>50_,pl_nn_frg_pp_>50_fd>50_,G83,foamed polystyrene pieces > 50 cm,Fragments of foamed polystyrene that are bigger than 50 cm in the longest dimension and originate from unidentifiable polystyrene items.,,47,"FP04
foamed plastic (insulation & packaging)
FP05
foamed plastic other",L1j,A14,,pl_nn_frg_pp_>50_fd>50_,
93,86,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,frg_,pl_nn_frg_,,fragments,pp_,pl_nn_frg_pp_,,Plastic/foamed polystyrene pieces,,pl_nn_frg_pp_,,,<50_,pl_nn_frg_pp_<50_,G76,Plastic/foamed polystyrene pieces 2.5 cm > < 50cm,nf<50_,pl_nn_frg_pp_<50_nf<50_,G79,non-foamed plastic pieces 2.5 cm > < 50cm,Fragments of plastic that are bigger than 2.5 cm and smaller than 50 cm in the longest dimension and originate from unidentifiable plastic non-foamed polystyrene items. ,,46,PL24,L1j,A14,,pl_nn_frg_pp_<50_nf<50_,
94,87,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,frg_,pl_nn_frg_,,fragments,pp_,pl_nn_frg_pp_,,Plastic/foamed polystyrene pieces,,pl_nn_frg_pp_,,,<50_,pl_nn_frg_pp_<50_,G76,Plastic/foamed polystyrene pieces 2.5 cm > < 50cm,fd<50_,pl_nn_frg_pp_<50_fd<50_,G82,foamed polystyrene pieces 2.5 cm > < 50cm,Fragments of foamed polystyrene that are bigger than 2.5 cm and smaller than 50 cm in the longest dimension and originate from unidentifiable polystyrene items.,,46,"FP04
foamed plastic (insulation & packaging)
FP05
foamed plastic other",L1j,A14,,pl_nn_frg_pp_<50_fd<50_,
95,88,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,idp_,pl_nn_idp_,G124,Other plastic/foamed polystyrene items (identifiable),,pl_nn_idp_,,,nf_,pl_nn_idp_nf_,,"Items that are made of  non-foamed plastic, which are identifiable but do not fit in any other litter type category in this list. ",,,,,,,,,"Items that are made of non-foamed artificial polymers, which are identifiable but do not fit in any other litter type category in this list. ",,48,PL24,L1j,A14,,pl_nn_idp_nf_,
96,89,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,idp_,pl_nn_idp_,G124,Other plastic/foamed polystyrene items (identifiable),,pl_nn_idp_,,,fd_,pl_nn_idp_fd_,,"Items that are made of  foamed polystyrene, which are identifiable but do not fit in any other litter type category in this list. ",,,,,,,,,"Items that are made of foamed polystyrene, which are identifiable but do not fit in any other litter type category in this list. ",,48,FP05,L1j,A14,,pl_nn_idp_fd_,
97,91,pl_,,Artificial polymer materials,nn_,pl_nn_,,undefined,rps_,pl_nn_rps_,,"Rope, string, cord",stg_,pl_nn_rps_stg_,G50,String and cord (diameter less than 1cm),notdr_,pl_nn_rps_stg_notdr_,,String and cord (diameter less than 1cm) not from dolly ropes or unidentified,,,,,,,,,"A material consisting of threads made of plastic twisted together to form a thin length, with a diameter smaller than 1 cm; excluding string and cord from dolly ropes.",,32,"CL04
Rope & String!",L1i,A7,,pl_nn_rps_stg_notdr_,
98,93,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,buc_,pl_ut_buc_,G65,Buckets,,,,,,,,,,,,,,,,,A roughly cylindrical open container with a handle made of plastic and used to hold and carry liquids.,,38,PL03,L1j,A14,,pl_ut_buc_,
99,94,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,cbt_,pl_ut_cbt_,G93,Cable ties,,,,,,,,,,,,,,,,,"A cable tie (also known as a wire tie, hose tie, steggel tie, zap strap or zip tie, and by the brand names Ty-Rap and Panduit strap) is a type of fastener, for holding items together, primarily electrical cables or wires.",,48,PL24,L1j,A14,,pl_ut_cbt_,
100,95,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,com_,pl_ut_com_,G29,Combs/hair brushes/sunglasses,,,,,,,,,,,,,,,,,"Plastic items used for untangling or arranging the hair, as well as plastic glasses tinted to protect the eyes from sunlight or glare.",,18,PL24,L1j,A14,,pl_ut_com_,
101,96,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,tap_,pl_ut_tap_,G87,Masking/duct/packing tape,,,,,,,,,,,,,,,,,"Different sorts of plastic adhesive tape: used in painting, to cover areas on which paint is not wanted (masking tape); strong cloth-backed waterproof adhesive tape (duct tape); box-sealing tape, parcel tape or packing tape used for closing or sealing corrugated fibreboard boxes.",,48,PL24,L1j,A14,,pl_ut_tap_,
102,144,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,pai_,pl_ut_pai_,G166,Paint brushes,,,,,,,,,,,,,,,,,"A brush used for painting, typically consisting of bristles fastened into a wooden or plastic handle. 

Can be made of other materials than artificial polymers.",,73,OT05,L8 & L9,E1,,pl_ut_pai_,
103,97,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,pen_,pl_ut_pen_,G28,Pens and pen lids,,,,,,,,,,,,,,,,,Any writing or drawing utensils made predominately from artificial polymer materials.,,17,PL24,L1j,A14,,pl_ut_pen_,
104,98,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,tag_,pl_ut_tag_,G43,Tags (fishing and industry),,,,,,,,,,,,,,,,,Plastic tags used to mark fish and shellfish such as lobsters and plastic cargo seals (pull-tight) both usually with a serial number.,,114,PL24,L1j,A14,,pl_ut_tag_,
105,99,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,tel_,pl_ut_tel_,G88,Telephone (incl. parts),,,,,,,,,,,,,,,,,Mobile phone devices and any other type of telephones.,,48,PL24,L1j,A14,,pl_ut_tel_,
106,100,pl_,,Artificial polymer materials,ut_,pl_ut_,,utility items,tfk_,pl_ut_tfk_,G72,Traffic cones,,,,,,,,,,,,,,,,,Plastic cone-shaped objects that are used to separate off or close sections of a road.,,48,PL24,L1j,A14,,pl_ut_tfk_,
107,145,pl_,,Artificial polymer materials,vhk_,pl_vhk_,,vehicle related,tyr_,pl_vhk_tyr_,,"Tyres, belts, inner tubes, wheels",whl_,pl_vhk_tyr_whl_,G130,Wheels,,,,,,,,,,,,,"A circular object that revolves on an axle and is fixed below a vehicle or other object to enable it to move easily over the ground. 

Can be made of other materials than artificial polymers.",,52,OT05,Lb2,C4,,pl_vhk_tyr_whl_,
108,101,pl_,,Artificial polymer materials,vhk_,pl_vhk_,,vehicle related,prt_,pl_vhk_prt_,G19,Vehicle parts,,,,,,,,,,,,,,,,,Any part of a car or other transport vehicle (i.e. boat) made of artificial polymer materials and fibre glass.,,14,PL24,L1j,A14,,pl_vhk_prt_,
109,105,ct_,,Cloth/textile,cl_,ct_cl_,G135,"Clothing (clothes, footware, headware, gloves)",clg_,ct_cl_clg_,G137,Clothing,,,,,,,,,,,,,,,,,Any type of clothes and garments made of artificial polymer materials. ,,54,CL01,L5a,F1,,ct_cl_clg_,
110,106,ct_,,Cloth/textile,cl_,ct_cl_,G135,"Clothing (clothes, footware, headware, gloves)",fw_,ct_cl_fw_,,Footwear,ss_,ct_cl_fw_ss_,G138,Shoes/sandals,,,,,,,,,,,,,Various types of footwear such as shoes and sandals made of leather and/or textile.,,57,CL01,L5a,F2,,ct_cl_fw_ss_,
111,107,ct_,,Cloth/textile,pa_,ct_pa_,,packaging,sa_,ct_pa_sa_,G140,Hessian sacks/packaging,,,,,,,,,,,,,,,,,"Sacks and other packaging items made of a strong, coarse fabric from hemp or jute (Hessian). ",,56,CL03,L8 & L9,F3,,ct_pa_sa_,
112,108,ct_,,Cloth/textile,rec_,ct_rec_,,recreation related,bps_,ct_rec_bps_,G139,Backpacks & textile bags,,,,,,,,,,,,,,,,,"Textile receptacles with an opening at the top, shoulder straps or a handle, used for carrying things.",,59,CL02,L8 & L9,F3,,ct_rec_bps_,
113,109,ct_,,Cloth/textile,nn_,ct_nn_,,undefined,tex_,ct_nn_tex_,G145,Other textiles,,,,,,,,,,,,,,,,,"Other textile items, including pieces of cloth, rags, etc. that are unidentifiable, as well as other identifiable cloth textile items, which do not fit in any other category of this list.",,59,CL06,L8 & L9,F3,,ct_nn_tex_,
114,110,ct_,,Cloth/textile,ut_,ct_ut_,,utility items,cpt_,ct_ut_cpt_,G141,Carpet & Furnishing,,,,,,,,,,,,,,,,,"Thick woven fabric used for covering the floor or other fabric used for furniture, fittings, and other decorative house accessories such as curtains.",,55,CL05,L5b,F3,,ct_ut_cpt_,
115,111,ct_,,Cloth/textile,ut_,ct_ut_,,utility items,sal_,ct_ut_sal_,G143,"Sails, canvas",,,,,,,,,,,,,,,,,"A heavy durable cloth made of cotton, hemp, or jute, used for sails, tents, etc.",,59,CL03,L8 & L9,F3,,ct_ut_sal_,
116,112,gc_,,Glass/ceramics,co_,gc_co_,,construction related,bt_,gc_co_bt_,G204,"Construction materials (bricks, tiles, cement)",,,,,,,,,,,,,,,,,"Any glass and ceramic material which is used for construction purposes such as brick, roof tiles, floor tiles, bricks, cement, etc. ",,94,GC01,L8 & L9,D4,,gc_co_bt_,
